epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,4702.21,0.85186,0.7277,1.18553,0.91588,0.84207,0.92493,0.69403,0.97523,0.63637,1.27245,0.0055945,0.0055945,0.0055945
91,4757.91,0.84826,0.71655,1.17192,0.93303,0.83023,0.92244,0.68664,0.98079,0.6346,1.27852,0.005545,0.005545,0.005545
92,4811.61,0.85363,0.71954,1.18105,0.91994,0.8404,0.92416,0.6932,0.97605,0.62213,1.27081,0.0054955,0.0054955,0.0054955
93,4864.1,0.83231,0.70277,1.17488,0.91983,0.85209,0.92119,0.69487,0.96408,0.62431,1.27291,0.005446,0.005446,0.005446
94,4918.08,0.83954,0.70388,1.1747,0.93339,0.84755,0.92877,0.69989,0.94706,0.60519,1.24892,0.0053965,0.0053965,0.0053965
95,4970.49,0.83734,0.70477,1.17126,0.9181,0.86446,0.92578,0.69466,0.96843,0.60977,1.26412,0.005347,0.005347,0.005347
96,5023.85,0.83002,0.70993,1.17291,0.91834,0.86285,0.9264,0.69044,0.96637,0.61337,1.26195,0.0052975,0.0052975,0.0052975
97,5076.28,0.83727,0.70113,1.16888,0.9143,0.84839,0.92055,0.69366,0.9638,0.61474,1.27067,0.005248,0.005248,0.005248
98,5129.81,0.82938,0.6905,1.17047,0.91946,0.84376,0.92356,0.69628,0.95735,0.61042,1.26305,0.0051985,0.0051985,0.0051985
99,5182.36,0.8362,0.68406,1.17049,0.92269,0.85204,0.92807,0.69824,0.96607,0.61352,1.26615,0.005149,0.005149,0.005149
100,5235.56,0.82203,0.68151,1.16571,0.89969,0.85853,0.92427,0.69677,0.95871,0.61091,1.25668,0.0050995,0.0050995,0.0050995
101,5289.49,0.81971,0.68961,1.1644,0.91262,0.85371,0.92479,0.69748,0.96281,0.60883,1.26361,0.00505,0.00505,0.00505
102,5341.78,0.81711,0.67037,1.16307,0.92948,0.85483,0.92869,0.70146,0.95224,0.5977,1.26347,0.0050005,0.0050005,0.0050005
103,5395.64,0.81404,0.67306,1.16002,0.91701,0.84956,0.9271,0.69525,0.96515,0.60275,1.26982,0.004951,0.004951,0.004951
104,5450.13,0.80147,0.67288,1.15214,0.93395,0.84622,0.92502,0.69702,0.95732,0.61075,1.2613,0.0049015,0.0049015,0.0049015
105,5503.21,0.81337,0.66281,1.15787,0.92696,0.85383,0.9247,0.69636,0.96605,0.61166,1.27525,0.004852,0.004852,0.004852
106,5555.22,0.80334,0.66011,1.15289,0.91798,0.86818,0.92937,0.70214,0.95749,0.59567,1.26434,0.0048025,0.0048025,0.0048025
107,5607.23,0.79983,0.65391,1.14785,0.90552,0.86773,0.93037,0.70469,0.94999,0.5994,1.25915,0.004753,0.004753,0.004753
108,5661.33,0.80255,0.65661,1.14835,0.92204,0.85507,0.93106,0.70496,0.96154,0.60337,1.26771,0.0047035,0.0047035,0.0047035
109,5713.74,0.79356,0.65848,1.14155,0.92168,0.85786,0.93119,0.7014,0.95536,0.59815,1.26111,0.004654,0.004654,0.004654
110,5766.91,0.80308,0.65914,1.14637,0.9135,0.85464,0.92911,0.70222,0.94994,0.60006,1.25332,0.0046045,0.0046045,0.0046045
111,5819.98,0.79836,0.65552,1.14901,0.92512,0.84955,0.92815,0.70165,0.9525,0.59692,1.25322,0.004555,0.004555,0.004555
112,5873.83,0.7938,0.65422,1.15009,0.93181,0.85152,0.92791,0.70154,0.94843,0.59879,1.25321,0.0045055,0.0045055,0.0045055
113,5926.43,0.79751,0.64939,1.14535,0.9289,0.83432,0.92447,0.69875,0.95522,0.60552,1.25824,0.004456,0.004456,0.004456
114,5979.85,0.79684,0.64085,1.1372,0.90724,0.87169,0.93103,0.70326,0.95972,0.59736,1.26505,0.0044065,0.0044065,0.0044065
115,6032.04,0.78186,0.64871,1.13814,0.92705,0.85786,0.92777,0.703,0.95403,0.5972,1.25818,0.004357,0.004357,0.004357
116,6084.29,0.77848,0.64553,1.13947,0.9226,0.86211,0.92739,0.70527,0.95655,0.60495,1.25633,0.0043075,0.0043075,0.0043075
